Temps;EA1
0;3.11693019932136
0.006;3.12247752211988
0.012;3.11138287652284
0.018;3.11693019932136
0.024;3.11138287652284
0.03;3.11138287652284
0.036;3.11693019932136
0.042;3.11693019932136
0.048;3.11693019932136
0.054;3.11693019932136
0.06;3.11693019932136
0.066;3.11138287652284
0.072;3.11138287652284
0.078;3.10583555372432
0.084;3.11138287652284
0.09;3.1002882309258
0.096;3.1002882309258
0.102;3.1002882309258
0.108;3.1002882309258
0.114;3.09474090812728
0.12;3.1002882309258
0.126;3.08364626253024
0.132;3.08364626253024
0.138;3.07809893973172
0.144;3.06700429413468
0.15;3.06145697133616
0.156;3.05590964853764
0.162;3.05036232573912
0.168;3.03926768014207
0.174;3.03926768014207
0.18;3.02817303454503
0.186;3.01707838894799
0.192;3.01153106614947
0.198;2.99488909775391
0.204;2.98934177495539
0.21;2.97824712935835
0.216;2.96715248376131
0.222;2.95605783816427
0.228;2.94496319256723
0.234;2.93941586976871
0.24;2.91722657857463
0.246;2.91167925577611
0.252;2.89503728738055
0.258;2.88394264178351
0.264;2.86175335058942
0.27;2.85065870499238
0.276;2.83401673659682
0.282;2.81737476820126
0.288;2.80628012260422
0.294;2.78963815420866
0.3;2.77854350861162
0.306;2.76190154021606
0.312;2.7452595718205
0.318;2.72861760342494
0.324;2.7175229578279
0.33;2.69533366663381
0.336;2.67869169823825
0.342;2.66204972984269
0.348;2.65095508424565
0.354;2.62876579305157
0.36;2.61767114745453
0.366;2.59548185626045
0.372;2.57883988786489
0.378;2.56219791946933
0.384;2.54555595107377
0.39;2.52336665987968
0.396;2.50672469148412
0.402;2.49008272308856
0.408;2.47898807749152
0.414;2.46234610909596
0.42;2.4457041407004
0.426;2.42906217230484
0.432;2.40687288111076
0.438;2.39577823551372
0.444;2.37913626711816
0.45;2.35694697592407
0.456;2.34030500752851
0.462;2.32366303913295
0.468;2.31256839353591
0.474;2.29037910234183
0.48;2.27928445674479
0.486;2.25709516555071
0.492;2.24600051995367
0.498;2.22935855155811
0.504;2.21826390596107
0.51;2.20162193756551
0.516;2.19052729196846
0.522;2.16833800077438
0.528;2.15724335517734
0.534;2.14060138678178
0.54;2.12950674118474
0.546;2.1184120955877
0.552;2.10177012719214
0.558;2.0906754815951
0.564;2.07958083599806
0.57;2.06848619040102
0.576;2.05739154480398
0.582;2.04629689920694
0.588;2.0352022536099
0.594;2.02410760801286
0.6;2.01301296241581
0.606;2.00746563961729
0.612;1.99082367122173
0.618;1.99082367122173
0.624;1.97972902562469
0.63;1.96863438002765
0.636;1.96308705722913
0.642;1.95753973443061
0.648;1.95199241163209
0.654;1.94089776603505
0.66;1.94089776603505
0.666;1.93535044323653
0.672;1.92980312043801
0.678;1.91870847484097
0.684;1.92425579763949
0.69;1.91316115204245
0.696;1.91316115204245
0.702;1.91316115204245
0.708;1.90761382924393
0.714;1.90761382924393
0.72;1.91316115204245
0.726;1.90761382924393
0.732;1.91316115204245
0.738;1.90761382924393
0.744;1.91316115204245
0.75;1.91316115204245
0.756;1.91316115204245
0.762;1.91870847484097
0.768;1.91870847484097
0.774;1.91870847484097
0.78;1.92980312043801
0.786;1.92980312043801
0.792;1.93535044323653
0.798;1.94089776603505
0.804;1.94089776603505
0.81;1.95199241163209
0.816;1.95753973443061
0.822;1.96308705722913
0.828;1.97418170282617
0.834;1.97972902562469
0.84;1.99082367122173
0.846;1.99637099402025
0.852;2.00191831681877
0.858;2.01856028521433
0.864;2.02410760801286
0.87;2.0352022536099
0.876;2.04629689920694
0.882;2.05739154480398
0.888;2.06848619040102
0.894;2.07958083599806
0.9;2.0906754815951
0.906;2.10177012719214
0.912;2.11286477278918
0.918;2.12950674118474
0.924;2.1461487095803
0.93;2.15169603237882
0.936;2.17943264637142
0.942;2.19052729196846
0.948;2.20716926036403
0.954;2.21826390596107
0.96;2.23490587435663
0.966;2.25154784275219
0.972;2.26818981114775
0.978;2.28483177954331
0.984;2.29592642514035
0.99;2.30702107073739
0.996;2.32921036193147
1.002;2.34585233032703
1.008;2.36249429872259
1.014;2.37358894431964
1.02;2.39577823551372
1.026;2.40687288111076
1.032;2.42906217230484
1.038;2.44015681790188
1.044;2.45679878629744
1.05;2.473440754693
1.056;2.5011773686856
1.062;2.51227201428264
1.068;2.53446130547673
1.074;2.54555595107377
1.08;2.56219791946933
1.086;2.58438721066341
1.092;2.59548185626045
1.098;2.61767114745453
1.104;2.62321847025305
1.11;2.63986043864861
1.116;2.66204972984269
1.122;2.67869169823825
1.128;2.68978634383529
1.134;2.71197563502938
1.14;2.73416492622346
1.146;2.7452595718205
1.152;2.75635421741754
1.158;2.7729961858131
1.164;2.79518547700718
1.17;2.8007327998057
1.176;2.81737476820126
1.182;2.83401673659682
1.188;2.84511138219386
1.194;2.8562060277909
1.2;2.87839531898499
1.206;2.89503728738055
1.212;2.90613193297759
1.218;2.91722657857463
1.224;2.93386854697019
1.23;2.94496319256723
1.236;2.95605783816427
1.242;2.96715248376131
1.248;2.97269980655983
1.254;2.98379445215687
1.26;2.99488909775391
1.266;3.00598374335095
1.272;3.01153106614947
1.278;3.01707838894799
1.284;3.02817303454503
1.29;3.03372035734355
1.296;3.03926768014207
1.302;3.05036232573912
1.308;3.05590964853764
1.314;3.06145697133616
1.32;3.0725516169332
1.326;3.0725516169332
1.332;3.07809893973172
1.338;3.08364626253024
1.344;3.08364626253024
1.35;3.08919358532876
1.356;3.09474090812728
