Temps;EA1
0;2.7452595718205
0.02;2.7175229578279
0.04;2.68423902103677
0.06;2.64540776144713
0.08;2.60657650185749
0.1;2.57883988786489
0.12;2.53446130547673
0.14;2.49563004588708
0.16;2.45125146349892
0.18;2.4179675267078
0.2;2.38468358991668
0.22;2.34585233032703
0.24;2.31256839353591
0.26;2.27928445674479
0.28;2.25154784275219
0.3;2.22381122875959
0.32;2.20162193756551
0.34;2.1738853235729
0.36;2.15169603237882
0.38;2.12950674118474
0.4;2.1184120955877
0.42;2.11286477278918
0.44;2.10177012719214
0.46;2.10177012719214
0.48;2.10177012719214
0.5;2.10731744999066
0.52;2.1184120955877
0.54;2.13505406398326
0.56;2.15169603237882
0.58;2.1738853235729
0.6;2.19607461476699
0.62;2.21271658316255
0.64;2.24045319715515
0.66;2.27373713394627
0.68;2.30147374793887
0.7;2.34030500752851
0.72;2.37913626711816
0.74;2.41242020390928
0.76;2.45125146349892
0.78;2.49008272308856
0.8;2.5289139826782
0.82;2.57329256506637
0.84;2.60102917905897
0.86;2.63431311585009
0.88;2.67314437543973
0.9;2.70642831223086
0.92;2.73971224902198
0.94;2.76190154021606
0.96;2.78963815420866
0.98;2.81182744540274
1;2.83401673659682
1.02;2.86175335058942
1.04;2.87839531898499
1.06;2.88394264178351
1.08;2.89503728738055
1.1;2.90058461017907
1.12;2.89503728738055
1.14;2.89503728738055
1.16;2.87839531898499
1.18;2.87284799618646
1.2;2.85065870499238
1.22;2.8284694137983
1.24;2.80628012260422
1.26;2.78409083141014
1.28;2.76190154021606
1.3;2.72861760342494
1.32;2.70088098943234
1.34;2.66759705264121
1.36;2.62876579305157
1.38;2.59548185626045
1.4;2.55665059667081
1.42;2.52336665987968
1.44;2.47898807749152
1.46;2.44015681790188
1.48;2.41242020390928
1.5;2.37913626711816
1.52;2.34030500752851
1.54;2.30702107073739
1.56;2.26818981114775
1.58;2.25154784275219
1.6;2.21271658316255
1.62;2.19607461476699
1.64;2.1738853235729
1.66;2.1461487095803
1.68;2.13505406398326
1.7;2.12395941838622
1.72;2.11286477278918
1.74;2.11286477278918
1.76;2.10731744999066
1.78;2.10731744999066
1.8;2.1184120955877
1.82;2.12950674118474
1.84;2.14060138678178
1.86;2.16279067797586
1.88;2.18497996916994
1.9;2.20716926036403
1.92;2.23490587435663
1.94;2.25709516555071
1.96;2.29592642514035
1.98;2.32366303913295
2;2.35139965312555
2.02;2.3902309127152
2.04;2.42906217230484
2.06;2.46234610909596
2.08;2.5011773686856
2.1;2.54000862827525
2.12;2.57883988786489
2.14;2.60657650185749
2.16;2.63986043864861
2.18;2.67869169823825
2.2;2.71197563502938
2.22;2.7452595718205
2.24;2.7729961858131
2.26;2.79518547700718
2.28;2.81737476820126
2.3;2.83956405939534
2.32;2.85065870499238
2.34;2.87839531898499
2.36;2.88394264178351
2.38;2.88394264178351
2.4;2.89503728738055
2.42;2.88394264178351
2.44;2.87284799618646
2.46;2.87284799618646
2.48;2.8562060277909
2.5;2.83401673659682
2.52;2.82292209099978
2.54;2.8007327998057
2.56;2.7729961858131
2.58;2.7452595718205
2.6;2.7175229578279
2.62;2.68978634383529
2.64;2.65095508424565
2.66;2.61767114745453
2.68;2.58438721066341
2.7;2.54555595107377
2.72;2.51227201428264
2.74;2.46789343189448
2.76;2.43460949510336
2.78;2.40132555831224
2.8;2.36249429872259
2.82;2.32921036193147
2.84;2.29592642514035
2.86;2.26818981114775
2.88;2.23490587435663
2.9;2.21271658316255
2.92;2.19052729196846
2.94;2.1738853235729
2.96;2.1461487095803
2.98;2.13505406398326
3;2.12395941838622
3.02;2.1184120955877
3.04;2.1184120955877
3.06;2.1184120955877
3.08;2.1184120955877
3.1;2.13505406398326
3.12;2.14060138678178
3.14;2.16279067797586
3.16;2.1738853235729
3.18;2.19607461476699
3.2;2.21826390596107
3.22;2.24600051995367
3.24;2.27373713394627
3.26;2.30702107073739
3.28;2.34030500752851
3.3;2.37358894431964
3.32;2.41242020390928
3.34;2.44015681790188
3.36;2.47898807749152
3.38;2.51227201428264
3.4;2.55110327387229
3.42;2.58438721066341
3.44;2.62321847025305
3.46;2.65650240704417
3.48;2.69533366663381
3.5;2.72307028062642
3.52;2.7452595718205
3.54;2.7729961858131
3.56;2.79518547700718
3.58;2.81737476820126
3.6;2.83401673659682
3.62;2.85065870499238
3.64;2.86175335058942
3.66;2.87839531898499
3.68;2.87839531898499
3.7;2.87839531898499
3.72;2.87839531898499
3.74;2.87284799618646
3.76;2.85065870499238
3.78;2.83956405939534
3.8;2.82292209099978
3.82;2.80628012260422
3.84;2.78409083141014
3.86;2.75635421741754
3.88;2.72307028062642
3.9;2.70088098943234
3.92;2.66759705264121
3.94;2.63431311585009
3.96;2.60102917905897
3.98;2.55665059667081
4;2.5289139826782
4.02;2.49563004588708
4.04;2.45679878629744
4.06;2.42351484950632
4.08;2.3902309127152
4.1;2.35694697592407
4.12;2.32366303913295
4.14;2.29037910234183
4.16;2.26264248834923
4.18;2.23490587435663
4.2;2.21271658316255
4.22;2.19052729196846
4.24;2.1738853235729
4.26;2.15169603237882
4.28;2.14060138678178
4.3;2.12950674118474
4.32;2.12950674118474
4.34;2.12950674118474
4.36;2.12950674118474
4.38;2.14060138678178
4.4;2.14060138678178
4.42;2.15169603237882
4.44;2.1738853235729
4.46;2.19607461476699
4.48;2.21271658316255
4.5;2.23490587435663
4.52;2.26818981114775
4.54;2.29037910234183
4.56;2.32366303913295
4.58;2.35694697592407
4.6;2.39577823551372
4.62;2.42351484950632
4.64;2.45125146349892
4.66;2.49008272308856
4.68;2.53446130547673
4.7;2.56219791946933
4.72;2.59548185626045
4.74;2.62876579305157
4.76;2.66759705264121
4.78;2.70088098943234
4.8;2.72307028062642
4.82;2.75635421741754
4.84;2.7729961858131
4.86;2.8007327998057
4.88;2.82292209099978
4.9;2.83956405939534
4.92;2.84511138219386
4.94;2.86730067338794
4.96;2.86175335058942
4.98;2.87284799618646
5;2.87284799618646
5.02;2.86175335058942
5.04;2.8562060277909
5.06;2.83956405939534
5.08;2.8284694137983
5.1;2.80628012260422
5.12;2.78963815420866
5.14;2.76744886301458
5.16;2.73971224902198
5.18;2.71197563502938
5.2;2.67869169823825
5.22;2.65095508424565
5.24;2.61767114745453
5.26;2.58438721066341
5.28;2.55110327387229
5.3;2.51227201428264
5.32;2.47898807749152
5.34;2.4457041407004
5.36;2.40687288111076
5.38;2.37358894431964
5.4;2.34585233032703
5.42;2.31256839353591
5.44;2.27373713394627
5.46;2.25154784275219
5.48;2.22935855155811
5.5;2.20716926036403
5.52;2.19607461476699
5.54;2.1738853235729
5.56;2.16279067797586
5.58;2.1461487095803
5.6;2.14060138678178
5.62;2.12950674118474
5.64;2.13505406398326
5.66;2.13505406398326
5.68;2.14060138678178
5.7;2.15169603237882
5.72;2.1738853235729
5.74;2.18497996916994
5.76;2.20716926036403
5.78;2.23490587435663
5.8;2.25709516555071
5.82;2.27928445674479
5.84;2.30702107073739
5.86;2.34030500752851
5.88;2.37358894431964
5.9;2.40687288111076
5.92;2.43460949510336
5.94;2.473440754693
5.96;2.51227201428264
5.98;2.54555595107377
