Temps;Mouvement X;Temps;Mouvement Y
0;0.00137713948455636;0;-0.00324249967247492
0.0333333;0.0722014558331694;0.0333333;0.122527184593214
0.0666666;0.135156403698603;0.0666666;0.236505960958994
0.0999999;0.205980720047216;0.0999999;0.342624132058168
0.1333332;0.26893566791265;0.1333332;0.425160487357526
0.1666665;0.331890615778084;0.1666665;0.511627145290187
0.1999998;0.402714932126697;0.1999998;0.578442290056334
0.2333331;0.47353924847531;0.2333331;0.637396829555876
0.2666664;0.540428880582333;0.2666664;0.684560461155509
0.2999997;0.607318512689357;0.2999997;0.727793790121839
0.333333;0.67420814479638;0.333333;0.755305908554959
0.3666663;0.748967145386583;0.3666663;0.774957421721473
0.3999996;0.815856777493606;0.3999996;0.778887724354775
0.4333329;0.88274640960063;0.4333329;0.778887724354775
0.4666662;0.949636041707653;0.4666662;0.763166513821564
0.4999995;1.01259098957309;0.4999995;0.735654395388445
0.5333328;1.07948062168011;0.5333328;0.704211974322023
0.5666661;1.14637025378713;0.5666661;0.660978645355692
0.5999994;1.21325988589416;0.5999994;0.609884711122756
0.6333327;1.28014951800118;0.6333327;0.539139263723307
0.666666;1.34310446586661;0.666666;0.456602908423949
0.6999993;1.40999409797364;0.6999993;0.374066553124591
0.7333326;1.47294904583907;0.7333326;0.271878684658719
0.7666659;1.53590399370451;0.7666659;0.165760513559544
0.7999992;1.59492425732835;0.7999992;0.0517817371937638
0.8333325;1.64607515246901;0.8333325;-0.0739879470719247
0.8666658;1.69722604760968;0.8666658;-0.203687933970916
0.8999991;1.74444225850875;0.8999991;-0.33731822350321
0.9333324;1.78772378516624;0.9333324;-0.474878815668807
0.9666657;1.83100531182373;0.9666657;-0.612439407834403
